raan                      ta                        type                      rmag                      dv                   
50                        240                       1                         0                         0.8103973388671873        
50                        250                       1                         0                         0.7862548828125           
50                        260                       1                         0                         0.7667724609375002        
50                        270                       1                         0                         0.751190185546875         
50                        280                       1                         0                         0.73883056640625          
50                        290                       1                         0                         0.72908935546875          
50                        300                       1                         0                         0.7214813232421875        
50                        310                       1                         0                         0.7156585693359375        
50                        320                       1                         0                         0.711346435546875         
50                        330                       1                         0                         0.70836181640625          
50                        340                       1                         0                         0.7065856933593748        
50                        350                       1                         0                         0.7059997558593749        
50                        360                       1                         0                         0.7066680908203125        
60                        0                         1                         0                         0.6962127685546875        
60                        10                        1                         0                         0.6979705810546875        
60                        20                        1                         0                         0.7017883300781249        
60                        30                        1                         0                         0.7091949462890624        
60                        40                        1                         0                         0.724456787109375         
60                        50                        1                         0                         0.7636779785156251        
60                        60                        0                         0                         0                         
60                        70                        0                         0                         0                         
60                        80                        0                         0                         0                         
60                        90                        0                         0                         0                         
60                        100                       0                         0                         0                         
60                        110                       0                         0                         0                         
60                        120                       0                         0                         0                         
60                        130                       0                         0                         0                         
60                        140                       0                         0                         0                         
60                        150                       0                         0                         0                         
60                        160                       0                         0                         0                         
60                        170                       0                         0                         0                         
60                        180                       0                         0                         0                         
60                        190                       0                         0                         0                         
60                        200                       0                         0                         0                         
60                        210                       0                         0                         0                         
60                        220                       1                         0                         0.879730224609375         
60                        230                       1                         0                         0.8397125244140625        
60                        240                       1                         0                         0.8068908691406249        
60                        250                       1                         0                         0.78035888671875          
60                        260                       1                         0                         0.75919189453125          
60                        270                       1                         0                         0.7425201416015624        
60                        280                       1                         0                         0.7295196533203125        
60                        290                       1                         0                         0.7194580078125001        
60                        300                       1                         0                         0.711749267578125         
60                        310                       1                         0                         0.705908203125            
60                        320                       1                         0                         0.7015960693359374        
60                        330                       1                         0                         0.698565673828125         
60                        340                       1                         0                         0.6966705322265626        
60                        350                       1                         0                         0.6958648681640626        
60                        360                       1                         0                         0.6962127685546875        
70                        0                         1                         0                         0.6883209228515627        
70                        10                        1                         0                         0.6898132324218751        
70                        20                        1                         0                         0.6932647705078125        
70                        30                        1                         0                         0.700177001953125         
70                        40                        1                         0                         0.7148712158203125        
70                        50                        1                         0                         0.7562805175781251        
70                        60                        0                         0                         0                         
70                        70                        0                         0                         0                         
70                        80                        0                         0                         0                         
70                        90                        0                         0                         0                         
70                        100                       0                         0                         0                         
70                        110                       0                         0                         0                         
70                        120                       0                         0                         0                         
70                        130                       0                         0                         0                         
70                        140                       0                         0                         0                         
70                        150                       0                         0                         0                         
70                        160                       0                         0                         0                         
70                        170                       0                         0                         0                         
70                        180                       0                         0                         0                         
70                        190                       0                         0                         0                         
70                        200                       0                         0                         0                         
70                        210                       0                         0                         0                         
70                        220                       1                         0                         0.8824401855468751        
70                        230                       1                         0                         0.8393646240234375        
70                        240                       1                         0                         0.80419921875             
70                        250                       1                         0                         0.7759368896484374        
70                        260                       1                         0                         0.7535797119140625        
70                        270                       1                         0                         0.7361206054687499        
70                        280                       1                         0                         0.7226531982421875        
70                        290                       1                         0                         0.7123352050781251        
70                        300                       1                         0                         0.704498291015625         
70                        310                       1                         0                         0.6986022949218751        
70                        320                       1                         0                         0.6942443847656252        
70                        330                       1                         0                         0.6911499023437501        
70                        340                       1                         0                         0.6891448974609377        
70                        350                       1                         0                         0.68818359375             
70                        360                       1                         0                         0.6883209228515627        
80                        0                         1                         0                         0.682232666015625         
80                        10                        1                         0                         0.6835968017578126        
80                        20                        1                         0                         0.6868835449218751        
80                        30                        1                         0                         0.6935394287109377        
80                        40                        1                         0                         0.7078765869140625        
80                        50                        1                         0                         0.7507232666015625        
80                        60                        0                         0                         0                         
80                        70                        0                         0                         0                         
80                        80                        0                         0                         0                         
80                        90                        0                         0                         0                         
80                        100                       0                         0                         0                         
80                        110                       0                         0                         0                         
80                        120                       0                         0                         0                         
80                        130                       0                         0                         0                         
80                        140                       0                         0                         0                         
80                        150                       0                         0                         0                         
80                        160                       0                         0                         0                         
80                        170                       0                         0                         0                         
80                        180                       0                         0                         0                         
80                        190                       0                         0                         0                         
80                        200                       0                         0                         0                         
80                        210                       0                         0                         0                         
80                        220                       1                         0                         0.884014892578125         
80                        230                       1                         0                         0.8389251708984375        
80                        240                       1                         0                         0.8021759033203125        
80                        250                       1                         0                         0.77274169921875          
80                        260                       1                         0                         0.7495239257812499        
80                        270                       1                         0                         0.7314880371093748        
80                        280                       1                         0                         0.7176269531250001        
80                        290                       1                         0                         0.707061767578125         
80                        300                       1                         0                         0.6990509033203126        
80                        310                       1                         0                         0.6930267333984376        
80                        320                       1                         0                         0.688568115234375         
80                        330                       1                         0                         0.6853729248046875        
80                        340                       1                         0                         0.6832672119140627        
80                        350                       1                         0                         0.6822052001953126        
80                        360                       1                         0                         0.682232666015625         
90                        0                         1                         0                         0.6775543212890626        
90                        10                        1                         0                         0.67891845703125          
90                        20                        1                         0                         0.6822235107421876        
90                        30                        1                         0                         0.6889160156250002        
90                        40                        1                         0                         0.7033721923828125        
90                        50                        1                         0                         0.747894287109375         
90                        60                        0                         0                         0                         
90                        70                        0                         0                         0                         
90                        80                        0                         0                         0                         
90                        90                        0                         0                         0                         
90                        100                       0                         0                         0                         
90                        110                       0                         0                         0                         
90                        120                       0                         0                         0                         
90                        130                       0                         0                         0                         
90                        140                       0                         0                         0                         
90                        150                       0                         0                         0                         
90                        160                       0                         0                         0                         
90                        170                       0                         0                         0                         
90                        180                       0                         0                         0                         
90                        190                       0                         0                         0                         
90                        200                       0                         0                         0                         
90                        210                       0                         0                         0                         
90                        220                       1                         0                         0.8845458984375001        
90                        230                       1                         0                         0.8384124755859376        
90                        240                       1                         0                         0.8007659912109374        
90                        250                       1                         0                         0.770599365234375         
90                        260                       1                         0                         0.7468139648437501        
90                        270                       1                         0                         0.7283294677734374        
90                        280                       1                         0                         0.7141204833984375        
90                        290                       1                         0                         0.7032806396484375        
90                        300                       1                         0                         0.695050048828125         
90                        310                       1                         0                         0.6888336181640627        
90                        320                       1                         0                         0.6842193603515626        
90                        330                       1                         0                         0.6808959960937501        
90                        340                       1                         0                         0.67869873046875          
90                        350                       1                         0                         0.6775634765625           
90                        360                       1                         0                         0.6775543212890626        
100                       0                         1                         0                         0.6741668701171875        
100                       10                        1                         0                         0.6756317138671876        
100                       20                        1                         0                         0.67913818359375          
100                       30                        1                         0                         0.686187744140625         
100                       40                        1                         0                         0.7013488769531251        
100                       50                        1                         0                         0.7484527587890625        
100                       60                        0                         0                         0                         
100                       70                        0                         0                         0                         
100                       80                        0                         0                         0                         
100                       90                        0                         0                         0                         
100                       100                       0                         0                         0                         
100                       110                       0                         0                         0                         
100                       120                       0                         0                         0                         
100                       130                       0                         0                         0                         
100                       140                       0                         0                         0                         
100                       150                       0                         0                         0                         
100                       160                       0                         0                         0                         
100                       170                       0                         0                         0                         
100                       180                       0                         0                         0                         
100                       190                       0                         0                         0                         
100                       200                       0                         0                         0                         
100                       210                       0                         0                         0                         
100                       220                       1                         0                         0.8840698242187501        
100                       230                       1                         0                         0.8378173828125           
100                       240                       1                         0                         0.79991455078125          
100                       250                       1                         0                         0.769427490234375         
100                       260                       1                         0                         0.7453033447265626        
100                       270                       1                         0                         0.7264892578125           
100                       280                       1                         0                         0.7119598388671875        
100                       290                       1                         0                         0.70081787109375          
100                       300                       1                         0                         0.6923217773437501        
100                       310                       1                         0                         0.68587646484375          
100                       320                       1                         0                         0.681060791015625         
100                       330                       1                         0                         0.6775909423828126        
100                       340                       1                         0                         0.675311279296875         
100                       350                       1                         0                         0.6741394042968749        
100                       360                       1                         0                         0.6741668701171875        
110                       0                         1                         0                         0.6721069335937501        
110                       10                        1                         0                         0.6738006591796875        
110                       20                        1                         0                         0.6777008056640627        
110                       30                        1                         0                         0.685455322265625         
110                       40                        1                         0                         0.7020355224609375        
110                       50                        1                         0                         0.7527557373046875        
110                       60                        0                         0                         0                         
110                       70                        0                         0                         0                         
110                       80                        0                         0                         0                         
110                       90                        0                         0                         0                         
110                       100                       0                         0                         0                         
110                       110                       0                         0                         0                         
110                       120                       0                         0                         0                         
110                       130                       0                         0                         0                         
110                       140                       0                         0                         0                         
110                       150                       0                         0                         0                         
110                       160                       0                         0                         0                         
110                       170                       0                         0                         0                         
110                       180                       0                         0                         0                         
110                       190                       0                         0                         0                         
110                       200                       0                         0                         0                         
110                       210                       0                         0                         0                         
110                       220                       1                         0                         0.8825958251953127        
110                       230                       1                         0                         0.837139892578125         
110                       240                       1                         0                         0.7996124267578125        
110                       250                       1                         0                         0.769207763671875         
110                       260                       1                         0                         0.7449829101562501        
110                       270                       1                         0                         0.72593994140625          
110                       280                       1                         0                         0.7111175537109377        
110                       290                       1                         0                         0.6996643066406252        
110                       300                       1                         0                         0.6908660888671876        
110                       310                       1                         0                         0.6841552734375           
110                       320                       1                         0                         0.6791290283203125        
110                       330                       1                         0                         0.6755035400390627        
110                       340                       1                         0                         0.6731414794921876        
110                       350                       1                         0                         0.671978759765625         
110                       360                       1                         0                         0.6721069335937501        
120                       0                         1                         0                         0.6716033935546876        
120                       10                        1                         0                         0.673663330078125         
120                       20                        1                         0                         0.67822265625             
120                       30                        1                         0                         0.6871307373046875        
120                       40                        1                         0                         0.7059906005859374        
120                       50                        1                         0                         0.7605560302734374        
120                       60                        0                         0                         0                         
120                       70                        0                         0                         0                         
120                       80                        0                         0                         0                         
120                       90                        0                         0                         0                         
120                       100                       0                         0                         0                         
120                       110                       0                         0                         0                         
120                       120                       0                         0                         0                         
120                       130                       0                         0                         0                         
120                       140                       0                         0                         0                         
120                       150                       0                         0                         0                         
120                       160                       0                         0                         0                         
120                       170                       0                         0                         0                         
120                       180                       0                         0                         0                         
120                       190                       0                         0                         0                         
120                       200                       0                         0                         0                         
120                       210                       0                         0                         0                         
120                       220                       1                         0                         0.880096435546875         
120                       230                       1                         0                         0.8363708496093749        
120                       240                       1                         0                         0.7998687744140626        
120                       250                       1                         0                         0.7699859619140627        
120                       260                       1                         0                         0.7459075927734375        
120                       270                       1                         0                         0.7267730712890624        
120                       280                       1                         0                         0.711712646484375         
120                       290                       1                         0                         0.6999572753906251        
120                       300                       1                         0                         0.6908294677734376        
120                       310                       1                         0                         0.6838348388671875        
120                       320                       1                         0                         0.6785797119140625        
120                       330                       1                         0                         0.67481689453125          
120                       340                       1                         0                         0.6723907470703125        
120                       350                       1                         0                         0.6712829589843752        
120                       360                       1                         0                         0.6716033935546876        
130                       0                         1                         0                         0.6731414794921876        
130                       10                        1                         0                         0.6757965087890626        
130                       20                        1                         0                         0.6813629150390627        
130                       30                        1                         0                         0.6920288085937502        
130                       40                        1                         0                         0.7140106201171874        
130                       50                        1                         0                         0.7707000732421875        
130                       60                        0                         0                         0                         
130                       70                        0                         0                         0                         
130                       80                        0                         0                         0                         
130                       90                        0                         0                         0                         
130                       100                       0                         0                         0                         
130                       110                       0                         0                         0                         
130                       120                       0                         0                         0                         
130                       130                       0                         0                         0                         
130                       140                       0                         0                         0                         
130                       150                       0                         0                         0                         
130                       160                       0                         0                         0                         
130                       170                       0                         0                         0                         
130                       180                       0                         0                         0                         
130                       190                       0                         0                         0                         
130                       200                       0                         0                         0                         
130                       210                       0                         0                         0                         
130                       220                       1                         0                         0.8765350341796876        
130                       230                       1                         0                         0.8355010986328124        
130                       240                       1                         0                         0.800738525390625         
130                       250                       1                         0                         0.77186279296875          
130                       260                       1                         0                         0.748260498046875         
130                       270                       1                         0                         0.7292083740234375        
130                       280                       1                         0                         0.7140106201171874        
130                       290                       1                         0                         0.7019805908203125        
130                       300                       1                         0                         0.6925506591796875        
130                       310                       1                         0                         0.685272216796875         
130                       320                       1                         0                         0.67979736328125          
130                       330                       1                         0                         0.6758972167968751        
130                       340                       1                         0                         0.6734710693359375        
130                       350                       1                         0                         0.6725006103515626        
130                       360                       1                         0                         0.6731414794921876        
140                       0                         1                         0                         0.6776824951171876        
140                       10                        1                         0                         0.6812622070312501        
140                       20                        1                         0                         0.6883392333984376        
140                       30                        1                         0                         0.7014129638671875        
140                       40                        1                         0                         0.7268188476562499        
140                       50                        1                         0                         0.7814117431640625        
140                       60                        1                         0                         0.8860198974609376        
140                       70                        0                         0                         0                         
140                       80                        0                         0                         0                         
140                       90                        0                         0                         0                         
140                       100                       0                         0                         0                         
140                       110                       0                         0                         0                         
140                       120                       0                         0                         0                         
140                       130                       0                         0                         0                         
140                       140                       0                         0                         0                         
140                       150                       0                         0                         0                         
140                       160                       0                         0                         0                         
140                       170                       0                         0                         0                         
140                       180                       0                         0                         0                         
140                       190                       0                         0                         0                         
140                       200                       0                         0                         0                         
140                       210                       0                         0                         0                         
140                       220                       1                         0                         0.8718017578125001        
140                       230                       1                         0                         0.8345123291015625        
140                       240                       1                         0                         0.8023223876953125        
140                       250                       1                         0                         0.775067138671875         
140                       260                       1                         0                         0.752362060546875         
140                       270                       1                         0                         0.7336853027343748        
140                       280                       1                         0                         0.7185058593750001        
140                       290                       1                         0                         0.7063110351562499        
140                       300                       1                         0                         0.6966430664062501        
140                       310                       1                         0                         0.6891265869140627        
140                       320                       1                         0                         0.6834777832031251        
140                       330                       1                         0                         0.679522705078125         
140                       340                       1                         0                         0.6771697998046875        
140                       350                       1                         0                         0.676483154296875         
140                       360                       1                         0                         0.6776824951171876        
150                       0                         1                         0                         0.687030029296875         
150                       10                        1                         0                         0.6920104980468751        
150                       20                        1                         0                         0.7011383056640627        
150                       30                        1                         0                         0.7168945312500001        
150                       40                        1                         0                         0.744232177734375         
150                       50                        1                         0                         0.791217041015625         
150                       60                        1                         0                         0.8619140625              
150                       70                        0                         0                         0                         
150                       80                        0                         0                         0                         
150                       90                        0                         0                         0                         
150                       100                       0                         0                         0                         
150                       110                       0                         0                         0                         
150                       120                       0                         0                         0                         
150                       130                       0                         0                         0                         
150                       140                       0                         0                         0                         
150                       150                       0                         0                         0                         
150                       160                       0                         0                         0                         
150                       170                       0                         0                         0                         
150                       180                       0                         0                         0                         
150                       190                       0                         0                         0                         
150                       200                       0                         0                         0                         
150                       210                       0                         0                         0                         
150                       220                       1                         0                         0.8657867431640626        
150                       230                       1                         0                         0.8333953857421875        
150                       240                       1                         0                         0.804766845703125         
150                       250                       1                         0                         0.779937744140625         
150                       260                       1                         0                         0.7587432861328125        
150                       270                       1                         0                         0.74091796875             
